P109002,94,94,2020-06-16 00:09:00.018,2020-06-16 00:11:47
P109006,0,96,2020-06-16 00:09:00.014,2020-06-16 00:11:47
P109008,0,74,2020-06-16 00:09:00.009,2020-06-16 00:11:47
P109009,44,44,2020-06-16 00:09:00.004,2020-06-16 00:11:47
P109010,146,146,2020-06-16 00:09:00.039,2020-06-16 00:11:47
P109012,117,117,2020-06-16 00:09:00.028,2020-06-16 00:11:47
P109013,53,52,2020-06-16 00:09:00.025,2020-06-16 00:11:47
group004,289,289,2020-06-16 00:09:00.048,2020-06-16 00:11:47
P104102,99,120,2020-06-16 00:10:00.094,2020-06-16 00:12:49
P104109,316,316,2020-06-16 00:10:00.197,2020-06-16 00:12:49
P104113,126,126,2020-06-16 00:10:00.063,2020-06-16 00:12:49
P104138,346,346,2020-06-16 00:10:00.092,2020-06-16 00:12:49
P107053,123,172,2020-06-16 00:10:00.143,2020-06-16 00:12:49
P109002,94,94,2020-06-16 00:10:00.09,2020-06-16 00:12:49
P109006,0,96,2020-06-16 00:10:00.086,2020-06-16 00:12:49
P109008,0,74,2020-06-16 00:10:00.054,2020-06-16 00:12:49
P109009,44,44,2020-06-16 00:10:00.009,2020-06-16 00:12:49
P109010,146,146,2020-06-16 00:10:00.147,2020-06-16 00:12:49
P109012,117,117,2020-06-16 00:10:00.145,2020-06-16 00:12:49
P109013,53,52,2020-06-16 00:10:00.141,2020-06-16 00:12:49
group004,293,293,2020-06-16 00:10:00.15,2020-06-16 00:12:49
P104102,99,120,2020-06-16 00:11:00.15,2020-06-16 00:13:50
P104109,318,318,2020-06-16 00:11:00.172,2020-06-16 00:13:50
P104113,125,125,2020-06-16 00:11:00.019,2020-06-16 00:13:50
P104138,344,344,2020-06-16 00:11:00.143,2020-06-16 00:13:50
P107053,127,172,2020-06-16 00:11:00.162,2020-06-16 00:13:50
P109002,94,94,2020-06-16 00:11:00.13,2020-06-16 00:13:50
P109006,0,96,2020-06-16 00:11:00.02,2020-06-16 00:13:50
P109008,0,74,2020-06-16 00:11:00.016,2020-06-16 00:13:50
P109009,44,44,2020-06-16 00:11:00.004,2020-06-16 00:13:50
P109010,146,146,2020-06-16 00:11:00.166,2020-06-16 00:13:50
P109012,117,117,2020-06-16 00:11:00.164,2020-06-16 00:13:50
P109013,53,52,2020-06-16 00:11:00.153,2020-06-16 00:13:50
group004,297,297,2020-06-16 00:11:00.17,2020-06-16 00:13:50
P104102,98,120,2020-06-16 00:12:00.02,2020-06-16 00:14:51
P104109,320,320,2020-06-16 00:12:00.054,2020-06-16 00:14:51
P104113,126,126,2020-06-16 00:12:00.01,2020-06-16 00:14:51
P104138,340,340,2020-06-16 00:12:00.018,2020-06-16 00:14:51
P107053,134,172,2020-06-16 00:12:00.034,2020-06-16 00:14:51
P109002,94,94,2020-06-16 00:12:00.015,2020-06-16 00:14:51
P109006,0,96,2020-06-16 00:12:00.012,2020-06-16 00:14:51
P109008,0,74,2020-06-16 00:12:00.008,2020-06-16 00:14:51
P109009,44,44,2020-06-16 00:12:00.003,2020-06-16 00:14:51
P109010,146,146,2020-06-16 00:12:00.049,2020-06-16 00:14:51
P109012,117,117,2020-06-16 00:12:00.039,2020-06-16 00:14:51
P109013,53,52,2020-06-16 00:12:00.023,2020-06-16 00:14:51
group004,304,304,2020-06-16 00:12:00.051,2020-06-16 00:14:51
P104102,97,120,2020-06-16 00:13:00.04,2020-06-16 00:15:52
P104109,321,321,2020-06-16 00:13:00.051,2020-06-16 00:15:52
P104113,128,128,2020-06-16 00:13:00.027,2020-06-16 00:15:52
P104138,336,336,2020-06-16 00:13:00.038,2020-06-16 00:15:52
P107053,147,172,2020-06-16 00:13:00.043,2020-06-16 00:15:52
P109002,94,94,2020-06-16 00:13:00.033,2020-06-16 00:15:52
P109006,0,96,2020-06-16 00:13:00.029,2020-06-16 00:15:52
P109008,0,74,2020-06-16 00:13:00.024,2020-06-16 00:15:52
P109009,44,44,2020-06-16 00:13:00.003,2020-06-16 00:15:52
P109010,146,146,2020-06-16 00:13:00.047,2020-06-16 00:15:52
P109012,117,117,2020-06-16 00:13:00.044,2020-06-16 00:15:52
P109013,53,52,2020-06-16 00:13:00.042,2020-06-16 00:15:52
group004,317,317,2020-06-16 00:13:00.049,2020-06-16 00:15:52
P104102,96,120,2020-06-16 00:14:00.031,2020-06-16 00:16:52
P104109,323,323,2020-06-16 00:14:00.043,2020-06-16 00:16:52
P104113,124,124,2020-06-16 00:14:00.021,2020-06-16 00:16:52
P104138,332,332,2020-06-16 00:14:00.029,2020-06-16 00:16:52
P107053,164,172,2020-06-16 00:14:00.035,2020-06-16 00:16:52
P109002,94,94,2020-06-16 00:14:00.027,2020-06-16 00:16:52
P109006,0,96,2020-06-16 00:14:00.023,2020-06-16 00:16:52
P109008,0,74,2020-06-16 00:14:00.019,2020-06-16 00:16:52
P109009,44,44,2020-06-16 00:14:00.004,2020-06-16 00:16:52
P109010,146,146,2020-06-16 00:14:00.039,2020-06-16 00:16:52
P109012,117,117,2020-06-16 00:14:00.037,2020-06-16 00:16:52
P109013,53,52,2020-06-16 00:14:00.033,2020-06-16 00:16:52
group004,334,334,2020-06-16 00:14:00.041,2020-06-16 00:16:52
P104102,96,120,2020-06-16 00:15:00.054,2020-06-16 00:17:53
P104109,324,324,2020-06-16 00:15:00.098,2020-06-16 00:17:53
P104113,112,120,2020-06-16 00:15:00.022,2020-06-16 00:17:53
P104138,329,329,2020-06-16 00:15:00.04,2020-06-16 00:17:53
P107053,178,177,2020-06-16 00:15:00.077,2020-06-16 00:17:53
P109002,94,94,2020-06-16 00:15:00.028,2020-06-16 00:17:53
P109006,0,96,2020-06-16 00:15:00.024,2020-06-16 00:17:53
P109008,0,74,2020-06-16 00:15:00.02,2020-06-16 00:17:53
P109009,44,44,2020-06-16 00:15:00.002,2020-06-16 00:17:53
P109010,146,146,2020-06-16 00:15:00.083,2020-06-16 00:17:53
P109012,117,117,2020-06-16 00:15:00.079,2020-06-16 00:17:53
P109013,53,52,2020-06-16 00:15:00.067,2020-06-16 00:17:53
group004,348,348,2020-06-16 00:15:00.096,2020-06-16 00:17:53
P104102,95,120,2020-06-16 00:16:00.03,2020-06-16 00:18:55
P104109,321,321,2020-06-16 00:16:00.041,2020-06-16 00:18:55
P104113,110,120,2020-06-16 00:16:00.021,2020-06-16 00:18:55
P104138,328,328,2020-06-16 00:16:00.028,2020-06-16 00:18:55
P107053,185,185,2020-06-16 00:16:00.034,2020-06-16 00:18:55
P109002,81,81,2020-06-16 00:16:00.025,2020-06-16 00:18:55
P109006,0,96,2020-06-16 00:16:00.023,2020-06-16 00:18:55
P109008,0,74,2020-06-16 00:16:00.018,2020-06-16 00:18:55
P109009,44,44,2020-06-16 00:16:00.003,2020-06-16 00:18:55
P109010,146,146,2020-06-16 00:16:00.037,2020-06-16 00:18:55
P109012,117,117,2020-06-16 00:16:00.035,2020-06-16 00:18:55
P109013,53,52,2020-06-16 00:16:00.032,2020-06-16 00:18:55
group004,355,355,2020-06-16 00:16:00.039,2020-06-16 00:18:55
P104102,93,120,2020-06-16 00:17:00.038,2020-06-16 00:19:56
P104109,314,314,2020-06-16 00:17:00.09,2020-06-16 00:19:56
P104113,114,120,2020-06-16 00:17:00.009,2020-06-16 00:19:56
P104138,329,329,2020-06-16 00:17:00.029,2020-06-16 00:19:56
P107053,186,186,2020-06-16 00:17:00.042,2020-06-16 00:19:56
P109002,81,81,2020-06-16 00:17:00.021,2020-06-16 00:19:56
P109006,0,96,2020-06-16 00:17:00.011,2020-06-16 00:19:56
P109008,0,74,2020-06-16 00:17:00.007,2020-06-16 00:19:56
P109009,44,44,2020-06-16 00:17:00.003,2020-06-16 00:19:56
P109010,146,146,2020-06-16 00:17:00.062,2020-06-16 00:19:56
P109012,117,117,2020-06-16 00:17:00.059,2020-06-16 00:19:56
P109013,53,52,2020-06-16 00:17:00.04,2020-06-16 00:19:56
group004,356,356,2020-06-16 00:17:00.079,2020-06-16 00:19:56
P104102,94,120,2020-06-16 00:18:00.017,2020-06-16 00:20:56
P104109,305,305,2020-06-16 00:18:00.071,2020-06-16 00:20:56
P104113,120,120,2020-06-16 00:18:00.008,2020-06-16 00:20:56
P104138,334,334,2020-06-16 00:18:00.015,2020-06-16 00:20:56
P107053,181,181,2020-06-16 00:18:00.022,2020-06-16 00:20:56
P109002,81,81,2020-06-16 00:18:00.013,2020-06-16 00:20:56
P109006,0,96,2020-06-16 00:18:00.01,2020-06-16 00:20:56
P109008,0,74,2020-06-16 00:18:00.006,2020-06-16 00:20:56
P109009,44,44,2020-06-16 00:18:00.002,2020-06-16 00:20:56
P109010,146,146,2020-06-16 00:18:00.052,2020-06-16 00:20:56
P109012,117,117,2020-06-16 00:18:00.031,2020-06-16 00:20:56
P109013,53,52,2020-06-16 00:18:00.019,2020-06-16 00:20:56
group004,351,351,2020-06-16 00:18:00.062,2020-06-16 00:20:56
P104102,96,120,2020-06-16 00:19:00.074,2020-06-16 00:21:58
P104109,297,300,2020-06-16 00:19:00.12,2020-06-16 00:21:58
P104113,121,121,2020-06-16 00:19:00.037,2020-06-16 00:21:58
P104138,340,340,2020-06-16 00:19:00.063,2020-06-16 00:21:58
P107053,174,174,2020-06-16 00:19:00.087,2020-06-16 00:21:58
P109002,81,81,2020-06-16 00:19:00.059,2020-06-16 00:21:58
P109006,0,96,2020-06-16 00:19:00.046,2020-06-16 00:21:58
P109008,0,74,2020-06-16 00:19:00.02,2020-06-16 00:21:58
P109009,44,44,2020-06-16 00:19:00.005,2020-06-16 00:21:58
P109010,146,146,2020-06-16 00:19:00.1,2020-06-16 00:21:58
P109012,117,117,2020-06-16 00:19:00.097,2020-06-16 00:21:58
P109013,53,52,2020-06-16 00:19:00.076,2020-06-16 00:21:58
group004,344,344,2020-06-16 00:19:00.117,2020-06-16 00:21:58
P104102,97,120,2020-06-16 00:20:00.051,2020-06-16 00:22:59
P104109,289,300,2020-06-16 00:20:00.064,2020-06-16 00:22:59
P104113,86,120,2020-06-16 00:20:00.041,2020-06-16 00:22:59
P104138,346,346,2020-06-16 00:20:00.05,2020-06-16 00:22:59
P107053,158,172,2020-06-16 00:20:00.056,2020-06-16 00:22:59
P109002,77,77,2020-06-16 00:20:00.047,2020-06-16 00:22:59
P109006,0,96,2020-06-16 00:20:00.044,2020-06-16 00:22:59
P109008,0,74,2020-06-16 00:20:00.039,2020-06-16 00:22:59
P109009,44,44,2020-06-16 00:20:00.004,2020-06-16 00:22:59
P109010,146,146,2020-06-16 00:20:00.06,2020-06-16 00:22:59
P109012,112,112,2020-06-16 00:20:00.057,2020-06-16 00:22:59
P109013,53,52,2020-06-16 00:20:00.054,2020-06-16 00:22:59
group004,323,323,2020-06-16 00:20:00.062,2020-06-16 00:22:59
P104102,97,120,2020-06-16 00:21:00.019,2020-06-16 00:24:00
P104109,283,300,2020-06-16 00:21:00.03,2020-06-16 00:24:00
P104113,86,120,2020-06-16 00:21:00.011,2020-06-16 00:24:00
P104138,351,351,2020-06-16 00:21:00.018,2020-06-16 00:24:00
P107053,152,172,2020-06-16 00:21:00.022,2020-06-16 00:24:00
P109002,68,73,2020-06-16 00:21:00.015,2020-06-16 00:24:00
P109006,0,96,2020-06-16 00:21:00.013,2020-06-16 00:24:00
P109008,0,74,2020-06-16 00:21:00.009,2020-06-16 00:24:00
P109009,44,44,2020-06-16 00:21:00.004,2020-06-16 00:24:00
P109010,146,146,2020-06-16 00:21:00.026,2020-06-16 00:24:00
P109012,94,94,2020-06-16 00:21:00.024,2020-06-16 00:24:00
P109013,53,52,2020-06-16 00:21:00.021,2020-06-16 00:24:00
group004,299,299,2020-06-16 00:21:00.029,2020-06-16 00:24:00
P104102,92,120,2020-06-16 00:23:00.074,2020-06-16 00:25:01
P104109,275,300,2020-06-16 00:23:00.098,2020-06-16 00:25:01
P104113,168,168,2020-06-16 00:23:00.055,2020-06-16 00:25:01
P104138,356,356,2020-06-16 00:23:00.073,2020-06-16 00:25:01
P107053,140,172,2020-06-16 00:23:00.079,2020-06-16 00:25:01
P109002,59,73,2020-06-16 00:23:00.061,2020-06-16 00:25:01
P109006,0,96,2020-06-16 00:23:00.057,2020-06-16 00:25:01
P109008,0,74,2020-06-16 00:23:00.036,2020-06-16 00:25:01
P109009,44,44,2020-06-16 00:23:00.003,2020-06-16 00:25:01
P109010,146,146,2020-06-16 00:23:00.082,2020-06-16 00:25:01
P109012,86,86,2020-06-16 00:23:00.08,2020-06-16 00:25:01
P109013,53,52,2020-06-16 00:23:00.077,2020-06-16 00:25:01
group004,279,282,2020-06-16 00:23:00.084,2020-06-16 00:25:01
P104102,92,120,2020-06-16 00:24:00.039,2020-06-16 00:26:02
P104109,272,300,2020-06-16 00:24:00.102,2020-06-16 00:26:02
P104113,168,168,2020-06-16 00:24:00.016,2020-06-16 00:26:02
P104138,356,356,2020-06-16 00:24:00.037,2020-06-16 00:26:02
P107053,140,172,2020-06-16 00:24:00.073,2020-06-16 00:26:02
P109002,94,94,2020-06-16 00:24:00.022,2020-06-16 00:26:02
P109006,0,96,2020-06-16 00:24:00.018,2020-06-16 00:26:02
P109008,0,74,2020-06-16 00:24:00.014,2020-06-16 00:26:02
P109009,44,44,2020-06-16 00:24:00.005,2020-06-16 00:26:02
P109010,146,146,2020-06-16 00:24:00.087,2020-06-16 00:26:02
P109012,106,106,2020-06-16 00:24:00.075,2020-06-16 00:26:02
P109013,53,52,2020-06-16 00:24:00.056,2020-06-16 00:26:02
group004,299,299,2020-06-16 00:24:00.099,2020-06-16 00:26:02
P104102,95,120,2020-06-16 00:25:00.034,2020-06-16 00:27:03
P104109,269,300,2020-06-16 00:25:00.07,2020-06-16 00:27:03
P104113,136,136,2020-06-16 00:25:00.014,2020-06-16 00:27:03
P104138,353,353,2020-06-16 00:25:00.022,2020-06-16 00:27:03
P107053,134,172,2020-06-16 00:25:00.039,2020-06-16 00:27:03
P109002,87,87,2020-06-16 00:25:00.018,2020-06-16 00:27:03
P109006,0,96,2020-06-16 00:25:00.016,2020-06-16 00:27:03
P109008,0,74,2020-06-16 00:25:00.011,2020-06-16 00:27:03
P109009,40,40,2020-06-16 00:25:00.004,2020-06-16 00:27:03
P109010,146,146,2020-06-16 00:25:00.059,2020-06-16 00:27:03
P109012,106,106,2020-06-16 00:25:00.049,2020-06-16 00:27:03
P109013,53,52,2020-06-16 00:25:00.037,2020-06-16 00:27:03
group004,293,293,2020-06-16 00:25:00.068,2020-06-16 00:27:03
P104102,98,120,2020-06-16 00:26:00.024,2020-06-16 00:28:04
P104109,266,300,2020-06-16 00:26:00.036,2020-06-16 00:28:04
P104113,136,136,2020-06-16 00:26:00.013,2020-06-16 00:28:04
P104138,349,349,2020-06-16 00:26:00.022,2020-06-16 00:28:04
P107053,132,172,2020-06-16 00:26:00.027,2020-06-16 00:28:04
P109002,84,84,2020-06-16 00:26:00.019,2020-06-16 00:28:04
P109006,0,96,2020-06-16 00:26:00.016,2020-06-16 00:28:04
P109008,0,74,2020-06-16 00:26:00.011,2020-06-16 00:28:04
P109009,40,40,2020-06-16 00:26:00.003,2020-06-16 00:28:04
P109010,146,146,2020-06-16 00:26:00.03,2020-06-16 00:28:04
P109012,106,106,2020-06-16 00:26:00.029,2020-06-16 00:28:04
P109013,53,52,2020-06-16 00:26:00.026,2020-06-16 00:28:04
group004,291,291,2020-06-16 00:26:00.033,2020-06-16 00:28:04
P104102,96,120,2020-06-16 00:27:00.021,2020-06-16 00:29:05
P104109,263,300,2020-06-16 00:27:00.044,2020-06-16 00:29:05
P104113,76,120,2020-06-16 00:27:00.011,2020-06-16 00:29:05
P104138,342,342,2020-06-16 00:27:00.019,2020-06-16 00:29:05
P107053,127,172,2020-06-16 00:27:00.025,2020-06-16 00:29:05
P109002,102,102,2020-06-16 00:27:00.016,2020-06-16 00:29:05
P109006,0,96,2020-06-16 00:27:00.013,2020-06-16 00:29:05
P109008,0,74,2020-06-16 00:27:00.008,2020-06-16 00:29:05
P109009,42,42,2020-06-16 00:27:00.004,2020-06-16 00:29:05
P109010,172,172,2020-06-16 00:27:00.028,2020-06-16 00:29:05
P109012,106,106,2020-06-16 00:27:00.027,2020-06-16 00:29:05
P109013,53,52,2020-06-16 00:27:00.023,2020-06-16 00:29:05
group004,286,286,2020-06-16 00:27:00.031,2020-06-16 00:29:05
P104102,94,120,2020-06-16 00:28:00.02,2020-06-16 00:30:06
P104109,259,300,2020-06-16 00:28:00.031,2020-06-16 00:30:06
P104113,36,120,2020-06-16 00:28:00.011,2020-06-16 00:30:06
P104138,334,334,2020-06-16 00:28:00.019,2020-06-16 00:30:06
P107053,130,172,2020-06-16 00:28:00.024,2020-06-16 00:30:06
P109002,74,74,2020-06-16 00:28:00.017,2020-06-16 00:30:06
